BioMAP Viewer Mixed Profile,Mechanism,BrEPI_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,BrEPI_IL-1b/TNF-a/IFN-g_24:CXCL10/IP-10,BrEPI_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,BrEPI_IL-1b/TNF-a/IFN-g_24:HLA-DR,BrEPI_IL-1b/TNF-a/IFN-g_24:IL-1alpha,BrEPI_IL-1b/TNF-a/IFN-g_24:MMP-1,BrEPI_IL-1b/TNF-a/IFN-g_24:PAI-I,BrEPI_IL-1b/TNF-a/IFN-g_24:SRB,BrEPI_IL-1b/TNF-a/IFN-g_24:tPA,BrEPI_IL-1b/TNF-a/IFN-g_24:uPA,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CD106/VCAM-1,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:Collagen III,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL10/IP-10,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL8/IL-8,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL9/MIG,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:EGFR,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:M-CSF,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:MMP-1,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:PAI-I,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:Proliferation_72hr,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:SRB,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:TIMP-2,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CCL2/MCP-1,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CD54/ICAM-1,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CXCL10/IP-10,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:IL-1alpha,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:MMP-9,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:SRB,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:TIMP-2,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:uPA,HUVEC/PBMC_LPS_24:CCL2/MCP-1,HUVEC/PBMC_LPS_24:CD106/VCAM-1,HUVEC/PBMC_LPS_24:CD142/Tissue Factor,HUVEC/PBMC_LPS_24:CD40,HUVEC/PBMC_LPS_24:CD62E/E-Selectin,HUVEC/PBMC_LPS_24:CXCL8/IL-8,HUVEC/PBMC_LPS_24:IL-1alpha,HUVEC/PBMC_LPS_24:M-CSF,HUVEC/PBMC_LPS_24:sPGE2,HUVEC/PBMC_LPS_24:SRB,HUVEC/PBMC_LPS_24:sTNF-alpha,HUVEC/PBMC_SEB/TSST_24:CCL2/MCP-1,HUVEC/PBMC_SEB/TSST_24:CD38,HUVEC/PBMC_SEB/TSST_24:CD40,HUVEC/PBMC_SEB/TSST_24:CD62E/E-Selectin,HUVEC/PBMC_SEB/TSST_24:CD69,HUVEC/PBMC_SEB/TSST_24:CXCL8/IL-8,HUVEC/PBMC_SEB/TSST_24:CXCL9/MIG,HUVEC/PBMC_SEB/TSST_24:PBMC Cytotoxicity,HUVEC/PBMC_SEB/TSST_24:Proliferation,HUVEC/PBMC_SEB/TSST_24:SRB,HUVEC_IL-1b/TNF-a/IFN-g_24:CCL2/MCP-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD106/VCAM-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD141/Thrombomodulin,HUVEC_IL-1b/TNF-a/IFN-g_24:CD142/Tissue Factor,HUVEC_IL-1b/TNF-a/IFN-g_24:CD54/ICAM-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD62E/E-Selectin,HUVEC_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,HUVEC_IL-1b/TNF-a/IFN-g_24:CXCL8/IL-8,HUVEC_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,HUVEC_IL-1b/TNF-a/IFN-g_24:HLA-DR,HUVEC_IL-1b/TNF-a/IFN-g_24:Proliferation,HUVEC_IL-1b/TNF-a/IFN-g_24:SRB,HUVEC_IL-4/Histamine_24:CCL2/MCP-1,HUVEC_IL-4/Histamine_24:CCL26/Eotaxin-3,HUVEC_IL-4/Histamine_24:CD106/VCAM-1,HUVEC_IL-4/Histamine_24:CD62P/P-selectin,HUVEC_IL-4/Histamine_24:CD87/uPAR,HUVEC_IL-4/Histamine_24:SRB,HUVEC_IL-4/Histamine_24:VEGFR2,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CCL2/MCP-1,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD106/VCAM-1,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD141/Thrombomodulin,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD142/Tissue Factor,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CXCL8/IL-8,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:HLA-DR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:IL-6,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:LDLR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:M-CSF,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:Proliferation,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:Serum Amyloid A,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:SRB
"Trusted, Agents, PD184352, BSK-C016173, 3333.3 nM",MEK inhibitor,-0.196177714,0.024468476,0.01003716,0.009996003,-0.1703464,-0.213969445,-0.166353787,0.003094578,-0.130600405,-0.2039661,0.250646469,-0.040255385,0.118323241,-0.2938301,-0.0276972,-0.1701583,0.106028808,-0.280152219,-0.315160419,-0.279619802,-0.06966344,-0.02057738,0.122374543,0.02346352,0.00317634,-0.2156214,-0.1002682,0.001036051,-0.052285686,-0.042720511,-0.071066734,0.021065457,-0.1503671,0.002121963,-0.054159903,-0.108611552,-0.187447161,0.09051613,-0.317073065,-0.066304576,-0.523317701,-0.314898526,-0.2769987,-0.2082534,-0.4917534,-0.330033329,-0.351578146,-0.170856991,-0.1151135,-0.516891,-0.09733092,-0.076768362,0.012961393,0.082400949,-0.207704743,0.009998089,-0.016235147,-0.189582622,-0.146049564,-0.009919455,-0.173265212,-0.3605112,-0.1064451,-0.140632077,-0.06204112,-0.026291298,-0.2163107,-0.421487387,-0.123055071,0.1169045,-0.02843014,0.159968555,-0.013249944,0.073540925,-0.06689696,-0.118059537,0.018852088,-0.055182958,-0.1323524,0.01901899,0.176068347,-0.051810802,0.142644629,-0.00853408
"Trusted, Agents, PD184352, BSK-C016173, 370.4 nM",MEK inhibitor,-0.125016314,0.028769025,0.01080448,0.042321805,-0.09075239,-0.202317379,-0.151417749,0.008566895,-0.111088387,-0.1249503,0.203456397,0.074191544,0.123784425,-0.1040747,-0.007932433,-0.09921255,0.137745884,-0.171937194,-0.089931183,-0.120552949,0.033162735,0.01622693,0.079873979,0.008758621,0.03691062,-0.04711455,-0.05336228,0.006253144,0.005690973,-0.022407142,-0.033346038,0.037447887,-0.09365995,0.008551646,-0.003346746,-0.031336029,-0.138383818,0.09265139,-0.120636785,-0.023432867,-0.455794639,-0.093082601,-0.07335758,-0.08324484,-0.180924,-0.161697412,-0.165701902,-0.019849671,-0.02357818,-0.1236655,-0.02421003,-0.031340306,0.0197877,0.055665826,-0.148429179,0.01002373,0.021970039,-0.061709009,-0.041004375,0.000291903,-0.039879064,-0.09720887,-0.0344844,-0.03781715,-0.01102377,-0.001196772,-0.04027232,-0.213094958,-0.043278378,0.0173474,-0.025348576,0.069310069,-0.031180913,0.097779763,-0.007936213,-0.044350746,0.005732581,-0.046700026,-0.08382619,0.03146027,0.046238019,0.053624775,0.065079506,0.01745832
"Trusted, Agents, SL 327, BSK-C016173, 10000 nM",MEK inhibitor,-0.142565093,0.02976467,0.01601839,-0.014224061,-0.07492571,-0.19890231,-0.126766743,-0.001191086,-0.105806504,-0.1650826,0.297093489,0.014652599,0.184766261,-0.0680466,0.01868368,-0.1578056,0.219980489,-0.16231664,-0.104080497,-0.164181705,0.030308533,0.01273012,0.057150244,0.008385933,0.02277146,0.02192605,-0.1043357,-0.01405,0.008858893,-0.017499652,-0.028184682,0.059333792,0.03066981,0.066964277,0.050786034,0.013475017,-0.172100788,0.1507566,-0.084179872,-0.03079057,-0.494865304,-0.192860995,-0.265874,-0.1854785,-0.3839129,-0.412057769,-0.402530647,-0.078606297,-0.03954986,-0.2528275,-0.08309333,-0.029662284,0.074030444,0.064459372,-0.140734924,0.0272383,0.064408259,-0.117570015,-0.054269227,0.006270553,-0.092132855,-0.2287124,-0.06319483,-0.049657529,0.008924546,0.002042316,0.007503348,-0.355251819,-0.092356406,-0.001454893,-0.016326225,0.136500149,-0.03761933,0.116076619,-0.01313654,-0.028353869,0.069507889,-0.033386115,-0.03396211,0.02805615,0.089856104,0.002368763,0.061181411,-0.004546063
"Trusted, Agents, SL 327, BSK-C016173, 1111.1 nM",MEK inhibitor,-0.049027337,0.018918496,0.02013003,0.049911979,-0.01920695,-0.165426294,-0.100737024,0.006962083,-0.054242245,-0.0678356,0.151569147,0.027852473,0.102732761,-0.02888067,0.01776467,-0.04946349,0.115235743,-0.105394502,-0.020985347,0.00079273,0.021381261,0.000964951,-0.004069071,0.03103877,-0.008875522,0.02823766,-0.02602515,0.003122654,0.041656944,-0.008079848,-0.009975037,0.04094377,-0.04408031,0.043582315,0.037133115,0.008657991,-0.101089682,0.06965555,-0.042017886,-0.013274187,-0.3831646,-0.04587593,-0.09042258,-0.09398983,-0.1824453,-0.152430286,-0.121480094,0.02093154,0.004268066,-0.06776722,-0.02572815,-0.018407569,0.037590308,0.020278315,-0.107189008,-8.45E-05,0.037253692,-0.064112739,-0.00288574,0.01340188,-0.069740789,-0.06766436,-0.01699295,0.016099591,0.01312307,0.037251026,0.003965344,-0.192645808,-0.037140419,0.01247628,0.003193631,0.058993847,-0.041413443,0.052133583,-0.03003971,-0.006769013,0.011091168,-0.021264382,0.0144002,0.03524386,0.068320598,-0.005459483,-0.006374241,-0.000756638
"Trusted, Agents, SL 327, BSK-C016173, 30000 nM",MEK inhibitor,-0.223836272,0.006731083,0.008267529,-0.118880877,-0.1029475,-0.212366222,-0.138671941,-0.02563247,-0.127379684,-0.2179026,0.335652388,-0.009278398,0.186504622,-0.1176814,0.04397826,-0.1779567,0.220753592,-0.17016968,-0.308875483,-0.388297912,-0.019357856,0.05608098,0.063887965,0.04130519,0.02258035,0.01740325,-0.1769069,-0.02639401,0.041712421,-0.036471009,-0.046211904,0.015512619,0.09606403,0.01398388,0.080215316,0.00502888,-0.143240605,0.1485337,-0.186341322,-0.090836247,-0.41477258,-0.319229381,-0.419409,-0.2313729,-0.4886366,-0.486119689,-0.507701175,-0.233387307,-0.01416056,-0.4435549,-0.1511228,-0.08367325,0.050086712,0.092838532,-0.106247025,0.03236174,0.086851276,-0.230160578,-0.13637246,-0.0182438,-0.098235825,-0.3542792,-0.1456455,-0.14515826,0.02832984,-0.03451348,-0.08144395,-0.400918048,-0.158895952,-0.001169535,-0.050455123,0.2027886,0.000141364,0.075666683,-0.03897379,-0.041434838,0.104378639,-0.044189523,-0.04112711,0.1090276,0.158321043,-0.057416016,0.10427941,-0.01368735
"Trusted, Agents, SL 327, BSK-C016173, 3333.3 nM",MEK inhibitor,-0.09440425,0.035752231,0.02529045,0.023832465,-0.05150758,-0.184515031,-0.113426393,0.007575051,-0.090273563,-0.08946921,0.239616081,0.022413802,0.156981958,-0.04000138,0.02043104,-0.08249424,0.176238654,-0.142361295,-0.048158177,-0.02982553,0.035776537,-0.008246146,0.030228859,-0.005400648,0.02142202,0.03054346,-0.04215434,-0.006045027,0.019094035,-0.011702647,-0.028475504,0.041133264,-0.02589997,0.018247225,0.02496415,-0.020351305,-0.120233665,0.1041293,-0.029603122,-0.015324459,-0.463735048,-0.112685756,-0.1808023,-0.1390546,-0.292609,-0.296884214,-0.252741954,-0.018186622,-0.03335414,-0.1722044,-0.06151696,-0.022767111,0.055806378,0.042645718,-0.135298006,0.01546307,0.046035078,-0.086320658,-0.023526105,-0.01724026,-0.126457856,-0.1168787,-0.0406884,0.019272597,0.002325149,0.031167598,0.04832744,-0.272558973,-0.066397245,-0.002601953,-0.014386247,0.080808615,-0.041464809,0.096666539,-0.004366528,-0.021632047,0.043370022,-0.03263749,-0.009978925,0.0251677,0.060360198,0.012559717,0.031131771,-0.006035086
"Trusted, Agents, UO126, BSK-C016173, 10000 nM",MEK inhibitor,-0.100867143,-0.005370356,0.01297723,-0.127496653,-0.05807687,-0.195055766,-0.12817362,-0.003761815,-0.070148492,-0.05984854,0.111100786,-0.013838451,0.096609311,-0.04474944,-0.000200268,-0.08216661,0.078257098,-0.124976076,-0.117895985,-0.416255937,0.01490777,0.05145358,0.077145013,-0.02612512,0.01022951,0.03260573,-0.04692309,0.002383371,0.03905463,-0.025936125,-0.039313079,-0.02304372,0.008568711,-0.146757387,-0.00149643,-0.035972638,-0.098886848,-0.01526255,-0.336018113,-0.04637212,-0.592890075,-0.148013908,-0.312022,-0.2856566,-0.2781093,-0.392747336,-0.263919119,-0.06075504,-0.09479279,-0.3836994,-0.07472835,-0.047934212,-0.032620996,0.047998026,-0.085343433,-0.03495583,0.002489599,-0.342360601,-0.021430112,-0.1168483,-0.445239879,-0.2899585,-0.08284952,0.039823974,-0.1944158,0.046094664,-0.02396834,-0.34810471,-0.13868559,0.1936813,-0.108990176,0.033772074,0.010328222,0.071619282,-0.1510121,-0.041401203,0.029683475,-0.212783417,-0.09827212,0.02141798,-0.035492281,-0.048428532,-0.027929539,-0.02129282
"Trusted, Agents, UO126, BSK-C016173, 1111.1 nM",MEK inhibitor,0.003437788,0.036184522,0.01990156,0.046540069,0.01120493,-0.083788365,-0.124075413,0.003986707,-0.014268996,-0.02135059,-0.004289133,0.005574732,0.02321541,0.002771076,-0.0171405,-0.009770848,0.038146957,-0.042289032,-0.142129578,0.067631301,0.033537682,-0.01194912,0.032768053,0.004975993,0.002607586,0.05248603,-0.001806599,0.00448686,0.04309635,-0.006246954,0.002796106,0.000342824,-0.001689556,-0.08594854,0.023556371,-0.01717842,-0.059481274,0.01895049,-0.076187099,-0.01311543,-0.466695273,-0.052040562,-0.04073579,-0.1013793,-0.05078239,-0.174100055,-0.080894469,0.004283545,-0.001019643,-0.07259066,-0.0216476,-0.007665255,0.012034271,0.023473063,-0.057342223,0.002342584,0.025431596,-0.120327699,0.030201327,-0.03561485,-0.147142035,-0.1197946,-0.03030252,0.047604182,-0.09784153,0.023735926,-0.01085587,-0.203389384,-0.073705717,0.0553814,-0.054142521,-0.01372639,-0.023714153,0.098173556,-0.07697111,-0.011553763,0.011185453,-0.072807874,-0.02984013,0.04913526,-0.021408753,0.033517595,-0.051264047,-0.005546226
"Trusted, Agents, UO126, BSK-C016173, 3333.3 nM",MEK inhibitor,-0.017292748,0.032477749,0.02153631,0.003019472,-0.01535131,-0.152391786,-0.129666247,0.006375668,-0.047190495,-0.03826486,0.063231265,0.033805803,0.063594422,-0.01337999,-0.01605103,-0.04001847,0.081391844,-0.074174821,-0.122988667,0.04056061,0.023425207,-0.002311157,0.05503802,-0.000252747,0.002421176,0.02111062,-0.004785691,0.006488969,0.046983096,-0.012424451,-0.015804748,-0.001192802,-0.00091869,-0.081463834,0.016743181,-0.021726679,-0.109475835,0.007117731,-0.201418308,-0.026278655,-0.584347145,-0.097976632,-0.1328641,-0.1593056,-0.1420461,-0.277385647,-0.138909282,-0.000207941,-0.01879707,-0.1688246,-0.04300134,-0.015562009,-0.007112523,0.041122712,-0.063343585,-0.01371477,0.027474712,-0.198307254,0.024433838,-0.0598065,-0.237876917,-0.1831678,-0.04033486,0.039433207,-0.1751412,0.029335132,0.004163642,-0.28663469,-0.099859272,0.1164109,-0.059787727,0.019028359,-0.009526341,0.101073997,-0.1000524,-0.021077332,0.022270961,-0.097853698,-0.06886694,0.03707142,-0.012615926,0.021013889,-0.032089949,-0.01059404
"Trusted, Agents, Colchicine, BSK-C016173, 1111.1 nM",Microtubule disruptor,0.035382363,-0.09054089,-0.02269545,-0.212150636,-0.03056468,0.007904618,-0.065145936,4.44E-05,0.136136284,0.01718247,-0.115069821,-0.077750732,-0.055736054,0.03021196,0.007625676,0.1184351,0.036795526,-0.00755172,0.039985967,-0.463002131,0.016528543,0.04093177,0.086080372,-0.007461854,-0.04041125,-0.03093469,-0.1312162,-0.008264135,0.015230414,-0.003823431,-0.039444175,-0.398932678,0.006809084,-0.305559095,-0.022149307,0.09178188,-0.195720765,-0.3373835,0.147480697,-0.19972502,-0.381528471,0.064426058,-0.3618172,-0.2473795,0.1161778,-0.123332937,0.102377969,-0.019609177,0.01142521,-0.3058975,-0.1652429,-0.001994988,-0.192451404,0.053624385,0.028797794,-0.0261934,0.035691886,-0.299565838,0.075627676,0.005327716,-0.728397244,-0.5301387,-0.1898421,0.148677359,-0.2197174,-0.045788542,-0.2382639,-0.129053339,-0.092200277,0.01192879,0.047201308,-0.137276153,0.035912527,0.034616792,-0.02602883,0.067976945,0.020207059,-0.233498962,0.2315253,0.116592,0.033359586,-0.158763387,-0.050629536,-0.02938993
"Trusted, Agents, Colchicine, BSK-C016173, 123.5 nM",Microtubule disruptor,0.046086575,0.001571953,-0.002756696,-0.156180338,-0.03785903,-0.008591611,-0.025796262,0.006819616,0.215463792,0.02837559,-0.059386447,-0.02204374,-0.030444229,0.02304265,-0.01083095,0.1382422,0.035516823,-0.019372144,0.030644823,-0.462321293,0.020821429,0.05103319,0.049975739,0.008206997,0.002585564,-0.01447426,-0.08299638,-0.004391762,0.045892601,0.022970077,0.02389117,-0.19490268,0.08885422,-0.249533072,0.051548783,0.141193377,-0.128139489,-0.2330993,0.068233686,-0.154357522,-0.125314439,0.045543576,-0.2750593,-0.2035857,0.07961351,-0.083099827,0.089459148,-0.01187009,0.003894196,-0.2850479,-0.1562894,0.017410189,-0.085234811,0.070767352,0.010446515,-0.00739844,0.027414847,-0.259501632,0.084846059,0.018571,-0.602235934,-0.5497929,-0.1567564,0.178225831,-0.05755562,-0.046810414,-0.3189247,-0.073403692,-0.069469083,0.02822779,0.036979443,-0.018390699,0.026557518,0.090643632,-0.06155756,0.090731042,0.024937754,-0.058451144,0.2287957,0.1295708,0.091998297,-0.231865428,0.015924213,-0.03351544
"Trusted, Agents, Colchicine, BSK-C016173, 13333.3 nM",Microtubule disruptor,0.016998517,-0.006326694,-0.02247228,-0.261572656,-0.04654029,-0.036945257,-0.070137747,0.00325813,0.15777882,0.03886025,-0.151911062,-0.051147209,-0.03987521,0.03040991,-0.04095133,0.04449041,0.037598,-0.068082841,0.046058207,-0.47781054,0.002977838,0.01769208,0.095827868,-0.008008867,-0.02218699,-0.01999476,-0.1543501,0.001738261,0.05814839,0.015034682,-0.043300371,-0.323544401,-0.05246254,-0.273035213,-0.023046423,0.079693556,-0.376873595,-0.3515922,0.096852428,-0.272486839,-0.358763755,0.017557768,-0.2733365,-0.2930282,0.08393743,-0.121334609,0.136281408,-0.025314379,-0.004789525,-0.2954617,-0.2248031,0.010992878,-0.189387141,0.059543653,-0.015129687,-0.02807129,0.026971539,-0.416197846,0.040610358,0.005311625,-0.788162797,-0.6285658,-0.1866676,0.098928917,-0.1743468,-0.061585152,-0.3258969,-0.191881441,-0.109254298,0.005366748,-0.005819742,-0.124486153,-0.03418284,0.002356656,-0.001502756,0.004174228,-0.025825133,-0.182833352,0.09110631,0.02559322,0.001557633,-0.12333415,-0.039028221,-0.005476092
"Trusted, Agents, Colchicine, BSK-C016173, 1481.5 nM",Microtubule disruptor,0.010761266,-0.038322296,-0.02171396,-0.26710206,-0.049778,-0.035602948,-0.14392847,-0.002397229,0.131558416,-0.0185696,-0.159604981,-0.112733881,-0.064921195,0.01982442,0.008345552,-0.008280788,0.02433707,-0.092999691,0.017674764,-0.488242119,0.034738035,,0.072255197,-0.004475823,-0.03325485,0.01406338,-0.1914734,-0.01431594,0.036280818,0.022495516,-0.056908691,-0.368592063,-0.09996717,-0.340710698,-0.057756869,0.063468777,-0.255257486,-0.3459557,0.119764604,-0.295567417,-0.367505589,0.028858092,-0.3348742,-0.3272106,0.07418457,-0.139052113,0.023752277,-0.030490728,0.02183293,-0.3112921,-0.2484118,-0.0306485,-0.18144214,0.025368292,0.019743122,-0.0266132,0.024751878,-0.425781437,0.020744333,0.002812821,-0.81713641,-0.6794251,-0.2031003,0.076322328,-0.1634649,-0.022614618,-0.3274709,-0.217148767,-0.092499234,-0.02879503,-0.011700493,-0.194973565,-0.053657627,0.018869955,0.03360046,0.040602281,-0.040816212,-0.295384897,0.189392,0.06880217,0.028181396,-0.220987894,-0.063867728,-0.01464641
"Trusted, Agents, Colchicine, BSK-C016173, 3333.3 nM",Microtubule disruptor,-0.006908516,-0.10930666,-0.03921294,-0.264656252,-0.06606344,-0.04161018,-0.065241742,-0.004298016,0.111618887,-0.05469742,-0.124716989,-0.038165736,-0.125087724,0.001721732,-0.02938245,0.03464462,-0.00685337,-0.047618752,0.048272782,-0.364055,0.011828542,0.06270848,0.056269436,0.01811696,-0.05820633,-0.05161335,-0.136065,-0.01063568,-0.000218476,-0.014805462,0.006225371,-0.293642679,-0.008541772,-0.2942072,-0.04315372,0.071818366,-0.205315566,-0.2834321,0.081223916,-0.160564939,-0.314878741,0.05823111,-0.3062639,-0.1937985,0.0766056,-0.122761966,0.006445291,-0.002455452,0.007050539,-0.3456579,-0.1537879,0.038975643,-0.174268161,0.047474146,-0.045937373,-0.02920354,0.055648491,-0.247784491,0.052653578,0.02707465,-0.833373882,-0.5786021,-0.1706891,0.183607685,-0.07957689,-0.044997586,-0.4324144,-0.009038902,-0.088590172,-0.0135345,0.064015218,-0.131142727,0.007424578,0.047034689,-0.03711732,0.095474246,0.02782877,-0.200356186,0.2604514,0.1148656,0.058362793,-0.128246027,0.004777068,-0.02281604
"Trusted, Agents, Colchicine, BSK-C016173, 370.4 nM",Microtubule disruptor,0.032666321,-0.065763446,-0.01712659,-0.208886526,-0.03735659,-0.00178915,-0.037821783,0.002287053,0.191333709,0.02466103,-0.070350891,-0.047536438,-0.036994947,0.02728449,-0.006308322,0.1192903,0.035598981,-0.013722262,0.056958398,-0.442245437,0.018429641,0.06192469,0.06432914,-0.00098314,-0.0357438,-0.01743867,-0.105146,-0.01667666,0.036967315,0.007652999,-0.045660514,-0.351976575,0.01298984,-0.326187634,-0.000626155,0.108971057,-0.197210008,-0.3191379,0.124942065,-0.220831514,-0.345806759,0.025155444,-0.3950679,-0.2743871,0.05430184,-0.15716945,0.063508515,-0.030270314,0.007170835,-0.3186851,-0.2128541,-0.023855201,-0.162351515,0.060050519,-0.019061319,-0.03142188,0.019212417,-0.289682447,0.050752321,0.01438718,-0.738266191,-0.6269096,-0.1983645,0.095164767,-0.1392939,-0.065562559,-0.2596304,-0.105849272,-0.125553164,-0.007419445,0.054297538,-0.121570079,0.031323657,0.027078388,-0.01167103,0.07554357,0.019736641,-0.196474033,0.2158695,0.1297762,0.039164498,-0.148173161,-0.050504361,-0.03158469
"Trusted, Agents, Colchicine, BSK-C016173, 40000 nM",Microtubule disruptor,0.012919051,-0.006719037,-0.03609608,-0.296877317,-0.05752886,-0.058805016,-0.059953511,0.001483381,0.111444409,0.003617144,-0.165779491,-0.073198832,-0.082526053,0.02315441,-0.04077763,0.06048177,0.051211643,-0.093694016,0.118579491,-0.446109318,-0.002720814,-0.007045783,0.047816126,-0.01327475,-0.02233892,-0.04775444,-0.1530003,-0.00744718,0.064397346,0.014651529,-0.038688498,-0.361261075,-0.02729878,-0.264954694,-0.026166766,0.074753585,-0.337316187,-0.3602622,0.102800439,-0.246112255,-0.470021718,-0.004830575,-0.2767942,-0.2646294,0.05120896,-0.118195434,0.093116719,-0.032035796,-0.007142699,-0.293458,-0.2015225,0.019992187,-0.20832063,0.056799969,-0.053084983,-0.02195227,-0.000188832,-0.405237854,0.041145514,-0.008053955,-0.752186061,-0.6480879,-0.1779987,0.087253408,-0.1450583,-0.058908206,-0.2919786,-0.190446916,-0.109910507,0.01018318,-0.013841523,-0.116419095,-0.032200753,-0.002850541,-0.009121387,0.015490538,-0.018038836,-0.160206402,0.08144714,0.02696661,0.006825884,-0.123325817,-0.023476848,-0.007668748
"Trusted, Agents, Picropodophyllin, BSK-C016173, 10000 nM",Microtubule disruptor,0.027485429,-0.098490403,-0.006818799,-0.195563265,-0.00812503,-0.050457794,-0.115144186,0.008634298,0.182075026,-0.03679959,-0.09200926,-0.014151033,-0.052017865,0.01321731,-0.01143352,0.03159337,-0.004292567,-0.01786693,0.086166295,-0.435837468,0.019636331,0.05587985,0.11814433,0.01793498,-0.03419557,-0.009942738,-0.06840256,0.003581349,0.047807347,0.035834484,-0.021895609,-0.28310126,-0.06069611,-0.361627206,-0.016629651,0.040651585,-0.32353746,-0.3805359,0.160749713,-0.216292333,-0.512273687,0.017650893,-0.2563236,-0.2972913,0.111476,-0.093546261,0.049371852,-0.030898566,-0.002398912,-0.3150965,-0.2594128,-0.056571711,-0.142,0.010885709,-0.070211996,-0.05004831,-0.00444813,-0.380849684,0.013333506,-0.01953632,-0.748781289,-0.3666348,-0.2786907,0.116270916,-0.08527431,-0.016120893,-0.3609331,-0.15641392,-0.153197701,0.004794213,0.05645264,-0.126717561,-0.007142943,0.080082246,-0.0288351,0.055006524,0.026926562,-0.156128693,0.2588547,0.1534407,0.07807563,-0.186574403,-0.006379406,-0.010372
"Trusted, Agents, Picropodophyllin, BSK-C016173, 1111.1 nM",Microtubule disruptor,-0.013188979,-0.04455427,0.001528321,-0.098233841,-0.01066082,-0.097729491,-0.114382616,0.009209723,0.068733237,-0.04518141,-0.064544359,-0.070426713,-0.019316627,0.01687818,-0.0126798,-8.98E-05,-0.035474231,-0.008970179,0.031747398,-0.448426623,0.025498597,0.05027818,0.054704514,0.01679319,-0.007614808,-0.01082842,-0.03623921,0.002209261,0.033757308,0.022727831,-0.0050098,-0.108461729,-0.06518584,-0.226345805,0.002003595,0.008606444,-0.158894194,-0.1721037,0.082537398,-0.158580064,-0.235652397,-0.008423196,-0.09687776,-0.1988916,0.08622665,-0.044625634,0.003350238,-0.01023024,0.01493603,-0.2797004,-0.1453244,-0.052502836,-0.097,0.008791473,-0.075526598,-0.03670858,-0.011968249,-0.254869483,-0.026114448,-0.01175147,-0.352193111,-0.3674346,-0.2063924,0.079854495,-0.02415889,-0.002703012,-0.09422535,-0.134382935,-0.126538544,0.01326983,-0.024659933,-0.075988716,-0.025215464,-0.015276756,-0.04897799,0.012688437,0.007509309,-0.039987023,0.1586713,0.07510845,0.047001108,-0.208305628,-0.0459224,-0.02239555
